,Company,Farm,Adult_female_lice_Average_per_fish,date
77,Scottish Salmon Company Ltd,Quarry Point,1.17,01/09/2018
78,Scottish Salmon Company Ltd,Rubha Stillaig,0.25,01/09/2018
79,Scottish Salmon Company Ltd,Strondoir Bay,1.98,01/09/2018
80,Scottish Salmon Company Ltd,Tarbert South,1.84,01/09/2018
81,Scottish Salmon Company Ltd,Ardcastle Bay,1.98,01/10/2018
82,Scottish Salmon Company Ltd,Ardgadden,1.79,01/10/2018
83,Scottish Salmon Company Ltd,Glenan Bay,0.19,01/10/2018
84,Scottish Salmon Company Ltd,Gob a Bharra,1.29,01/10/2018
85,Scottish Salmon Company Ltd,Meall Mhor,1.88,01/10/2018
86,Scottish Salmon Company Ltd,Quarry Point,2.16,01/10/2018
87,Scottish Salmon Company Ltd,Rubha Stillaig,0.26,01/10/2018
88,Scottish Salmon Company Ltd,Strondoir Bay,1.91,01/10/2018
89,Scottish Salmon Company Ltd,Tarbert South,1.88,01/10/2018
90,Scottish Salmon Company Ltd,Ardcastle Bay,1.76,01/11/2018
91,Scottish Salmon Company Ltd,Ardgadden,1.74,01/11/2018
92,Scottish Salmon Company Ltd,Glenan Bay,0.2,01/11/2018
93,Scottish Salmon Company Ltd,Gob a Bharra,0.88,01/11/2018
94,Scottish Salmon Company Ltd,Meall Mhor,1.04,01/11/2018
95,Scottish Salmon Company Ltd,Quarry Point,1.97,01/11/2018
96,Scottish Salmon Company Ltd,Rubha Stillaig,0.26,01/11/2018
97,Scottish Salmon Company Ltd,Strondoir Bay,0.66,01/11/2018
98,Scottish Salmon Company Ltd,Tarbert South,2.58,01/11/2018
99,Scottish Salmon Company Ltd,Ardcastle Bay,1.85,01/12/2018
100,Scottish Salmon Company Ltd,Ardgadden,2.04,01/12/2018
101,Scottish Salmon Company Ltd,Glenan Bay,0.22,01/12/2018
102,Scottish Salmon Company Ltd,Gob a Bharra,0.48,01/12/2018
103,Scottish Salmon Company Ltd,Meall Mhor,0.48,01/12/2018
104,Scottish Salmon Company Ltd,Quarry Point,1.71,01/12/2018
105,Scottish Salmon Company Ltd,Rubha Stillaig,0.24,01/12/2018
106,Scottish Salmon Company Ltd,Strondoir Bay,2,01/12/2018
107,Scottish Salmon Company Ltd,Tarbert South,2.24,01/12/2018
108,Scottish Salmon Company Ltd,Ardcastle Bay,2.04,01/01/2019
109,Scottish Salmon Company Ltd,Ardgadden,1.72,01/01/2019
110,Scottish Salmon Company Ltd,Glenan Bay,0.22,01/01/2019
111,Scottish Salmon Company Ltd,Gob a Bharra,0.74,01/01/2019
112,Scottish Salmon Company Ltd,Meall Mhor,0.75,01/01/2019
113,Scottish Salmon Company Ltd,Quarry Point,2.17,01/01/2019
114,Scottish Salmon Company Ltd,Rubha Stillaig,0.21,01/01/2019
115,Scottish Salmon Company Ltd,Strondoir Bay,2.06,01/01/2019
116,Scottish Salmon Company Ltd,Tarbert South,1.82,01/01/2019
117,Scottish Salmon Company Ltd,Ardcastle Bay,1.24,01/03/2019
118,Scottish Salmon Company Ltd,Ardgadden,2.08,01/03/2019
119,Scottish Salmon Company Ltd,Glenan Bay,0.25,01/03/2019
120,Scottish Salmon Company Ltd,Gob a Bharra,0.52,01/03/2019
