1.28E-03,1.19E-04,9.78E-04,3.99E-03,1.38E-02,6.06E-03,3.96E-03,9.88E-04,4.85E-03
7.76E-04,1.08E-04,5.87E-04,5.41E-03,7.28E-03,5.82E-03,1.89E-03,2.42E-03,7.74E-03
8.47E-04,1.14E-04,5.51E-04,4.23E-03,6.50E-03,4.56E-03,1.42E-03,3.37E-03,7.95E-03
2.59E-03,1.37E-05,1.30E-03,2.64E-03,1.97E-02,4.47E-03,3.43E-03,5.93E-04,3.11E-03
1.47E-03,0.00E+00,6.84E-04,3.26E-03,9.56E-03,3.25E-03,1.16E-03,3.38E-03,7.36E-03
2.79E-03,2.00E-05,1.42E-03,2.85E-03,1.94E-02,4.87E-03,2.88E-03,1.02E-03,2.42E-03
5.23E-04,0.00E+00,1.79E-04,9.94E-04,1.94E-03,1.01E-03,2.67E-04,6.31E-03,1.29E-02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.51E-06,0.00E+00,4.27E-03,1.69E-02
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.94E-04,1.15E-02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
