,Farm,version,iteration,count_mu,sum_in,sum_out,Fself,Edays_in,Edays_out,Edays_self,ncages
0,1,f2,0,0.0102002452651,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
1,2,f2,0,0.020467145121900003,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
2,3,f2,0,0.011355135570700002,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
3,4,f2,0,0.00781290420701,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
4,5,f2,0,0.0128054778959,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
5,6,f2,0,0.011700164434,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
6,7,f2,0,0.013867607332799998,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
7,8,f2,0,0.0105236669454,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
8,9,f2,0,0.00993900075636,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
9,1,f2,1,0.0110437548037,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
10,2,f2,1,0.0206068581245,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
11,3,f2,1,0.0114829677101,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
12,4,f2,1,0.0079216315286,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
13,5,f2,1,0.012795707583299998,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
14,6,f2,1,0.011552788960799998,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
15,7,f2,1,0.013009484199099999,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
16,8,f2,1,0.0102064928625,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
17,9,f2,1,0.00974674202266,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
18,1,f2,2,0.0106008340739,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
19,2,f2,2,0.0214469265658,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
20,3,f2,2,0.011915694590200003,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
21,4,f2,2,0.00816417249352,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
22,5,f2,2,0.013048639682200002,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
23,6,f2,2,0.0118784842526,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
24,7,f2,2,0.0138236800526,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
25,8,f2,2,0.010512237319399998,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
26,9,f2,2,0.009635137637530001,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
27,1,f2,3,0.01014274714,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
28,2,f2,3,0.020758881130900003,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
29,3,f2,3,0.0117206182508,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
30,4,f2,3,0.00784840826754,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
31,5,f2,3,0.0130571040071,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
32,6,f2,3,0.0116182536275,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
33,7,f2,3,0.0134704126779,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
34,8,f2,3,0.0102834852304,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
35,9,f2,3,0.00955455964428,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
36,1,f2,4,0.010882911108799999,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
37,2,f2,4,0.020625312410599998,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
38,3,f2,4,0.012319352938000001,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
39,4,f2,4,0.00789964190731,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
40,5,f2,4,0.0127278332982,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
41,6,f2,4,0.0113150572279,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
42,7,f2,4,0.0135049036766,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
43,8,f2,4,0.010504356017200001,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
44,9,f2,4,0.009734611634950001,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
45,1,f3,0,0.0100945324227,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
46,2,f3,0,0.0202513987871,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
47,3,f3,0,0.011812867125799998,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
48,4,f3,0,0.0075994946499799996,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
49,5,f3,0,0.0126069407987,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
50,6,f3,0,0.0113629774153,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
51,7,f3,0,0.013267362309700001,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
52,8,f3,0,0.0107585385091,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
53,9,f3,0,0.009737276464219999,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
54,1,f3,1,0.010423172180299999,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
55,2,f3,1,0.020560381271500002,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
56,3,f3,1,0.0119117419687,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
57,4,f3,1,0.00802538040109,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
58,5,f3,1,0.0128805432672,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
59,6,f3,1,0.0118379244309,0.06950048819999999,0.10699451200000001,0.009142060400000002,59.40230657093929,47.8192711109515,6.33125841085014,9
60,7,f3,1,0.0132514551898,0.253116333,0.0964780781,0.04347439100000001,54.967491972719046,49.23212030507719,6.15716730799058,8
61,8,f3,1,0.0104892054897,0.0378669635,0.11390804189999998,0.0064586704,59.94701763867816,49.62493706036555,5.975347635017882,9
62,9,f3,1,0.00977786092638,0.0260588666,0.1024061688,0.0013370142,51.77367734697151,51.54692875961213,5.552982907735758,9
63,1,f3,2,0.0101203954278,0.08113483369999998,0.0689186407,0.007819826799999999,57.95035236940451,52.07047533233589,6.271981266899672,6
64,2,f3,2,0.019859575608599998,0.1525595196,0.1048459313,0.028670857,51.23436485892707,52.591859895964845,5.61100262890642,4
65,3,f3,2,0.012055109763499999,0.323459734,0.08262967329999998,0.051456069,51.87261544426626,52.46261001737377,5.54083748605048,8
66,4,f3,2,0.00782265677626,0.0322860888,0.08432802129999999,0.005288763,61.06898843054503,48.52064647083002,5.981534434422568,12
67,5,f3,2,0.0126236604099,0.08673499529999999,0.1402027401,0.0083583634,57.179815908648855,47.38680935682445,6.718860153890893,9
