,,,,Week 1,,,,Week 2,,,,Week 3,,,,Week 4,,,,Week 5,,,,Week 6,,,,Week 7,,,,Week 8,,,,Week 9,,,,Week 10,,,,Week 11,,,,Week 12,,,,Week 13,,,,Week 14,,,,Week 15,,,,Week 16,,,,Week 17,,,,Week 18,,,,Week 19,,,,Week 20,,,,Week 21,,,,Week 22,,,,Week 23,,,,Week 24,,,,Week 25,,,,Week 26,,,,Week 27,,,,Week 28,,,,Week 29,,,,Week 30,,,,Week 31,,,,Week 32,,,,Week 33,,,,Week 34,,,,Week 35,,,,Week 36,,,,Week 37,,,,Week 38,,,,Week 39,,,,Week 40,,,,Week 41,,,,Week 42,,,,Week 43,,,,Week 44,,,,Week 45,,,,Week 46,,,,Week 47,,,,Week 48,,,,Week 49,,,,Week 50,,,,Week 51,,,,Week 52,,,,Week 53,,,
Site No.,Site Name,Business Name,Business No.,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action
FS0800,Leinish,Isle of Skye Salmon Limited,FB0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,0.99,Bath,Salmosan,,,,,,2.07,,,,4.4,,,,3.86,,,,1.02,In Feed,,,,,,,2.03,,,,no count,Bath,H2O2 treatment for gills,,5.22,,,,3.77,,,,no count,Harvesting,,,no count,Harvesting,,,0.25,Bath,salmosan,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1027,Linga (Setterness),Grieg Seafood Shetland Ltd,FB0440,1.8,,,,2.78,,,,4.03,,,,4,,,,4.38,Bath,,,5.55,Bath,,,no count,Bath,,,3.68,Bath,,,no count,,,,3.67,,,,no count,,,,no count,,,,no count,,,,1.2,,,,3.42,,,,no count,,,,3.1,,,,2.6,,,,2.63,,,,2.28,,,,2.95,,,,2.78,,,,2.82,,,,2.83,,,,2.08,,,,3.66,,,,2.5,,,,2.08,,,,1.13,,,,,,,,2.83,,,,3.18,,,,4.15,,,,3.18,,,,5.25,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0850,Lippie Geo,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,Physical,Delicing scheduled,
FS0914,Lismore West,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,Physical,Delicing scheduled,
FS0016,Loch Alsh (Sron),Mowi Scotland Ltd,FB0119,1.22,,,,2.5,,,,3.68,,,,0.57,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,,,3.41,Bath,Salmosan,,1.42,Bath,Salmosan,,,,,,3.11,Bath,Salmosan,,3.04,Bath,Salmosan,,3.59,Bath,Salmosan,,3.02,Bath,Salmosan,,1.94,,,,2.87,Harvesting,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1280,Loch Carnan,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,Cleanerfish,"Salmosan treatment planned, harvesting will commence in Jan21",,,,,,,,,,4.77,,,,3.72,Harvesting,,
FS0426,Loch Creran (B),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,Physical,,,1.46,,,,,,,,3.31,Physical,,,1.31,,,,,,,,2.54,Physical,,,no count,,Algal bloom. Mitigation delayed,,5.18,Physical,,,4,Physical,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0248,Loch Duich,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,Physical,,,3.94,Physical,Thermolicer,,1.5,,,,,,,,,,,,2.28,Harvesting,,,3.11,Harvesting,,,<2,Harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0015,Loch Greshornish,Mowi Scotland Ltd,FB0119,2.65,,,,1.31,Bath,,,3.82,Bath,,,2.43,,,,1.01,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,2.57,Bath,Salmosan,,1.69,,,,,,,,2.74,Bath,Salmosan,,3.22,Bath,Salmosan,,4.76,Bath,Salmosan treatment planned anf harvesting,,3.76,Harvesting,Salmosan treatment also planned,,2.61,Harvesting,Salmosan treatment also planned,,1.82,,,,3.88,Harvesting,Bath (salmosan),,3.23,Harvesting,Bath (salmosan),,5.34,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0244,Loch Leven (1),Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,Physical,,,0.48,,,,,,,,2.71,Bath,AMX,,<2,,,,,,,,2.81,,,,4.46,Physical,Thermolicer & Cleanerfish,,4.89,Physical,Thermolicer ongoing & Cleanerfish topped up,,2.14,Physical,Thermolicer,,2.61,Physical,Thermolicer,,1.73,,,,6.05,Physical,Thermolicer. Site also havesting,
FS1309,Loch Snizort East,Isle of Skye Salmon Limited,FB0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,Bath,,,3.75,,,,no count,,,,2.84,Bath,,,3.45,,,,3.63,,,,4.45,,,,3.1,,,,no count,Physical,,,2.15,Physical,,,3.61,In Feed,,,4.49,,,,2.07,Bath,,,0.65,Bath,Salmosan,,no count,Bath,Salmosan,,4.69,Bath,Salmosan,,3.84,Bath,Salmosan,,3.64,,,,1.12,,,,4.61,,,,1.28,Bath,Salmosan,,4.5,,,,5.56,,,,no count,Bath,Salmosan,,3.99,Bath,Salmosan. 5 pens harvested out,,1.6,Bath,Salmosan,,,,,,4.48,,,,3.77,Bath,H2O2,,no count,Bath,Salmosan. ,,4.74,Bath,salmosan,,no count,Bath,salmosan,,3.42,,,,5.43,,,,no count,Bath,salmosan,,4.3,Bath,Salmosan,,4.53,Harvesting,,,no count,Harvesting,,,4.27,Harvesting,,,5.1,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,
FS0853,Lochmaddy,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,Bath,"Site stocked with cleanerfish, planned alphamax treatment, thinning and harvest. ",,1.3,,,,,,,,,,,,,,,,,,,,5.68,Cleanerfish,"Sudden influx of leps, all stages.  Targeted harvesting worst affected pens, moving wrasse to remainging pens.",,4.25,Cleanerfish,"Targeted harvesting worst affected pens, moving wrasse to remainging pens.",,6.87,Harvesting,Cleanerfish also on site,,no count,Harvesting,Cleanerfish also on site,,no count,Harvesting,,,no count,Harvesting,,Warning Letter,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1315,Maaey,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,2.45,,planned bath treatment is delayed due to weather,,<2,,,,3.55,Physical,,,2.6,,Treatments delayed due to poor weather,,<2,Physical,Hydrolicer,,,,,,,,,,,,,,,,,,,,,
FS0599,MacLean's Nose,Mowi Scotland Ltd,FB0119,,,,,,,,,5.03,,,,no count,,,,3.25,Physical,,,2.2,Physical,,,no count,Physical,Counts couldn't be performed due to bad weather,,2.43,,,,2.93,Physical,,,no count,,count pending due bad weather conditions,,2.23,Physical,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,Harvesting,,,3.91,Harvesting,,,no count,Harvesting,Adverse weather prevented count,,3.64,Harvesting,,,2.33,Harvesting,,,1.2,,,,,,,,,,,,4.41,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1304,Maragay Mor,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,Bath,,,<2,,,,,,,,,,,,,,,,,,,,,,,,2,Physical,,,2.06,Cleanerfish,,,<2,,,,,,,,,,,,,,,,,,,,,,,
FS1033,North Shore,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,3.35,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1254,Outer Eport,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,
FS1256,Plocrapol,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,Cleanerfish,,,2.88,Cleanerfish,,,3.26,Cleanerfish,Mechanical treatment planned,,3.31,Physical,,,2.68,,,,3.8,,,,,,,,3.65,Physical,,,no count,Bath,FW treatment scheduled to start. No count due to weather,,,,,,4.52,,Treatment delayed due to weather. Some pens being harvested.,,no count,,Bad weather prevented count taking place,,4.05,,Treatments delayed due to poor weather,,3.37,Harvesting,Bath (FW) treatment on some pens with Physical on remaining pens,,no count,,No count carried out due to weather,,6.02,,,,<CoGP,Physical,,,,,,,,,,
FS0859,Port Na Cro,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,Physical,Hydrolicer,,2.16,Physical,Hydrolicer,,6.72,Bath,Fresh water,
FS1318,Portree Outer,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,Harvesting,Physical treatment,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0408,Poseidon,Grieg Seafood Shetland Ltd,FB0440,,,,,2.48,,,,,,,,3.74,,,,5.94,Physical,,,no count,Physical,,,3.17,Physical,,,2.03,,,,2.54,,,,2.91,,,,2.17,,,,3.33,,,,3.61,,,,0.92,Physical,,,no count,Physical,,,2.34,,,,3.1,,,,2.78,,,,4.98,,,,5.35,Bath,,,0.7,,,,,,,,0.47,Bath,Fresh water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,,5.5,Bath,Salmosan,,5.03,Harvesting,,,2,Bath,,,4.43,Harvesting,,,4.3,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1263,Raineach,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,Bath,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1277,Reibinish,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,<2,Physical,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,5.03,Physical,,,<2,Physical,,,3.3,Physical,,,<2,Physical,,,,,,,2.11,,Treatments delayed due to poor weather,,2.64,Bath,FW treatment & Bio Reduction,,<2,Physical,FW/Hydrolicer,,,,,,,,,,,,,,,,,
FS1317,Rum,Mowi Scotland Ltd,FB0119,6.88,,,,11.52,Bath,Fish transferred from Seaforth. Bath treated upon arrival,,no count,,,,1.58,Bath,,Advisory Letter,2.7,Bath,,,3.63,Bath,,,no count,Bath,Counts couldn't be performed due to bad weather,,3.26,Bath,,,2.35,,,,2.45,,,,1.79,,,,2.71,,,,4.45,Bath,Fresh water,,no count,Bath,Fresh water. Bad weather prevented counts,,4.09,Bath,FW treatment and harvesting ,,3.85,Bath,FW treatment and harvesting,,3.87,Harvesting,,,no count,Harvesting,Bad weather prevented count,,3.97,Harvesting,,,4.46,Harvesting,,,no count,Harvesting,bad weather prevented count,,4.68,Harvesting,,,4.52,Harvesting,,,no count,Harvesting,adverse weather prevented count,,no count,Harvesting,adverse weather,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1293,Scadabay,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,Cleanerfish,,,<2,,,,,,,,,,,,2.94,Bath,Some pens treated with FW,,no count,Bath,Pens untreated wk39 treated with H2O2,,3.39,Physical,Delay to treatment start due to weather at previous site being treated.,,<2,,,,,,,,,,,,4.78,Bath,Freshwater,,3.4,Bath,Freshwater,,2.6,,Treatments delayed due to poor weather,,no count,,,,2.35,Physical,FW/Hydrolicer. Grading complete & harvesting some pens. Physical treatment planned for when weather improves,,no count,,bad weather,,no count,,bad weather,,<2,Physical,,,,,,
FS1330,Sconser Quarry,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,0.38,Physical,Hydrolicer,,,,,,,,,
FS0502,Scotasay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,Bath,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Bath,fresh water treatment,,2.81,Bath,fresh water,,4.66,Bath,freshwater,,0.97,EoC,whole site moved to GHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1042,Seaforth,Mowi Scotland Ltd,FB0119,0.64,Physical,,,,,,,,,,,2.17,Physical,,,0.88,,,,,,,,5.1,Physical,,,7.74,,,,2.91,Physical,,,2.48,Bath,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,Harvesting,,,7.94,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1076,Setterness North (Bomlo),Grieg Seafood Shetland Ltd,FB0440,,,,,,,,,1.16,,,,2.06,,,,3.08,,,,3.72,,,,5.89,,,,0.95,Physical,,,,Physical,,,,,,,,,,,,,,,,,,,2.03,Physical,,,3.68,Harvesting,,,2.82,Harvesting,Bath,,2.65,Harvesting,Bath,,3.29,Harvesting,Bath,,2.62,,,,1.85,Bath,,,2.08,,,,1.82,,,,,,,,2.88,Harvesting,,,0.45,Harvesting,,,2.44,Harvesting,,,<1,,,,1.77,,,,,,,,,,,,,,,,2.8,,,,2.48,,,,3.03,,,,5.4,Bath,Salmosan,,2.55,,,,no count,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1018,Slocka Ronas Voe,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,Physical,,,0.83,Physical,,,,,,,,,,,,,,,,,,,3.08,Physical,,,no count,Physical,,,3.7,Physical,,,no count,Physical,,,no count,Physical,,,4.35,Harvesting,Destocking,,,,,,4.87,Physical,,,3.22,Harvesting,,,no count,Harvesting,no count done due to harvesting,,no count,Harvesting,no count done due to harvesting,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0646,Soay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,Harvesting,Physical (thermolicer) treatment also planned,,2.55,Harvesting,Physical (Optilicer),,2.62,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0183,South Sound,Scottish Sea Farms Ltd,FB0125,5.3,Physical,,,5.17,Physical,,,5.91,Physical,,,5.5,Physical,,,5.32,Physical,,,2.43,Cleanerfish,,,2.18,Cleanerfish,,,2.4,Cleanerfish,,,5.77,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0637,Stead of Aithness,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,3,Harvesting,,,3.82,Harvesting,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1335,"Swarta Skerry, Dury Voe",Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,Physical,,,0.43,,,,,,,,,,,,,,,,,,,,2.4,Physical,,
FS0903,Swining Voe 3,Grieg Seafood Shetland Ltd,FB0440,4.97,,,,5.01,,,,no count,,,,5.4,Physical,,,,,,,,,,,,,,,2.95,,,,2.5,Physical,,,4.1,,,,0.79,Physical,,,,,,,,,,,,,,,2.53,,,,5.22,Bath,,,0.1,Bath,,,,,,,,,,,,,,,,,,,,,,,2.55,Harvesting,,,2.16,Harvesting,,,2.31,Harvesting,,,2.15,,,,2.31,,,,3.52,,,,3.34,,,,4.55,,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0752,Taranaish,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,2.33,In Feed,"Mechanical treatment planned, disrupted due to weather. ",,≥2<6,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,Cleanerfish,,,<2,,,,,,,,,,,,,,,,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1093,Teisti Geo,Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,Physical,Delicing scheduled,
