,,,,Week 1,,,,Week 2,,,,Week 3,,,,Week 4,,,,Week 5,,,,Week 6,,,,Week 7,,,,Week 8,,,,Week 9,,,,Week 10,,,,Week 11,,,,Week 12,,,,Week 13,,,,Week 14,,,,Week 15,,,,Week 16,,,,Week 17,,,,Week 18,,,,Week 19,,,,Week 20,,,,Week 21,,,,Week 22,,,,Week 23,,,,Week 24,,,,Week 25,,,,Week 26,,,,Week 27,,,,Week 28,,,,Week 29,,,,Week 30,,,,Week 31,,,,Week 32,,,,Week 33,,,,Week 34,,,,Week 35,,,,Week 36,,,,Week 37,,,,Week 38,,,,Week 39,,,,Week 40,,,,Week 41,,,,Week 42,,,,Week 43,,,,Week 44,,,,Week 45,,,,Week 46,,,,Week 47,,,,Week 48,,,,Week 49,,,,Week 50,,,,Week 51,,,,Week 52,,,,Week 53,,,
Site No.,Site Name,Business Name,Business No.,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action,Count,Mitigation,Add. Info.,SG Action
FS0933,Clashnessie Bay,Loch Duart Ltd,FB0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,2.9,,,,3.17,Cleanerfish,,
FS0489,Cole Deep,Grieg Seafood Shetland Ltd,FB0440,3.5,Bath,,,no count,,,,4.2,Bath,,,,,,,,,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1296,Colonsay,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,3.37,Bath,,,4.2,Bath,In Feed,,4.54,Bath,In Feed,,3.14,Bath,In Feed,,4.07,,,,6.97,Harvesting,,,5.6,Harvesting,,,7.75,Harvesting,,,8.7,Harvesting,,Advisory Letter,no count,Harvesting,,,no count,,count not done due to bad weather,,no count,Harvesting,,,no count,Harvesting,,EN,no count,Harvesting,nc carried out due to harv. & weather,,3.2,Bath,Salmosan,,no count,Harvesting,Waiting for weather window for treatments & counts,,1.9,,,,,,,,,,,,,,,
FS1287,Corlarach,Isle of Skye Salmon Limited,FB0577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,0.53,,,,,,,,,,,,2.98,In Feed,,,3.76,Bath,H2O2,,5.39,,,,no count,,,,8.31,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,,no count,Harvesting,,Warning Letter,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0656,Djubawick,Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,,,,,2.88,Physical,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,Physical,,,3.07,Physical,,,<2,,,,2.04,Physical,,,4.84,Physical,Hydrolicer,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0960,East of Holm Heogland (Burkwell),Cooke Aquaculture Scotland Ltd,FB0095,,,,,,,,,,,,,,,,,2.44,Harvesting,,,<2,,,,,,,,4.26,Physical,,,,,,,2.4,Harvesting,Physical treatment also being carried out,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,Physical,Salmosan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,Physical,Hydrolicer,,2.17,Physical,Hydrolicer,,<2,,,,,,,,,,,,,,,
FS1278,East of Papa Little,Grieg Seafood Shetland Ltd,FB0440,4.97,Physical,,,1.7,Physical,,,,Physical,,,,Physical,,,3.63,,,,2.98,,,,no count,,,,2.28,,,,2.25,Harvesting,Physical treatment also ,,no count,Harvesting,,,2.2,Harvesting,,,,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1176,Eilean Grianain,Mowi Scotland Ltd,FB0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,Harvesting,,,EoC,EoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS1233,Eughlam,The Scottish Salmon Company,FB0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,Physical,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS0427,Fishnish (A),Scottish Sea Farms Ltd,FB0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,Physical,,,2.73,Physical,,,no count,Physical,,,0.4,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,Destocking,Physical also scheduled,,2.45,Destocking,Physical also scheduled,,no count,Harvesting,Physical treatment also completed,,0.66,,,,,,,,,,,,,,,,,,,,,,,,2.13,Harvesting,Destocking,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
