	lat	lon	MF	stage	stage_age	resistanceT1	date
7	56.52166	-5.36803	F	1	4	0.0012338763079828355	2016-03-08
8	56.52166	-5.36803	M	2	0	0.00045275036487525417	2016-03-08
9	56.52166	-5.36803	M	1	8	0.018003958805909846	2016-03-08
	lat	lon	MF	stage	stage_age	resistanceT1	date
0	56.52166	-5.36803	M	2	3	0.009004625995103047	2016-03-08
1	56.52166	-5.36803	M	1	5	0.0008989704909879333	2016-03-08
2	56.52166	-5.36803	F	2	6	0.010444845530379129	2016-03-08
3	56.52166	-5.36803	F	1	4	0.0012338763079828355	2016-03-08
4	56.52166	-5.36803	M	2	0	0.00045275036487525417	2016-03-08
5	56.52166	-5.36803	M	1	8	0.018003958805909846	2016-03-08
6	56.5212	-5.36774	M	1	4	0.4225971095441261	2016-03-08
7	56.5212	-5.36774	F	1	4	0.0005953827593779674	2016-03-08
8	56.5212	-5.36774	F	1	6	0.0002443608596948512	2016-03-08
9	56.5212	-5.36774	F	2	10	0.06668363821621197	2016-03-08
	lat	lon	MF	stage	stage_age	resistanceT1	date
0	56.5212	-5.36774	M	1	5	0.4225971095441261	2016-03-09
1	56.5212	-5.36774	F	1	5	0.0005953827593779674	2016-03-09
2	56.5212	-5.36774	F	1	7	0.0002443608596948512	2016-03-09
3	56.5212	-5.36774	F	2	11	0.06668363821621197	2016-03-09
4	56.52166	-5.36803	F	1	2	0.004732374451417886	2016-03-09
5	56.52166	-5.36803	M	1	6	0.0008989704909879333	2016-03-09
6	56.52166	-5.36803	F	1	5	0.0012338763079828355	2016-03-09
7	56.52166	-5.36803	M	2	1	0.00045275036487525417	2016-03-09
8	56.52166	-5.36803	M	1	9	0.018003958805909846	2016-03-09
	lat	lon	MF	stage	stage_age	resistanceT1	date
0	56.52166	-5.36803	F	1	2	0.004732374451417886	2016-03-09
1	56.52166	-5.36803	M	1	6	0.0008989704909879333	2016-03-09
2	56.52166	-5.36803	F	1	5	0.0012338763079828355	2016-03-09
3	56.52166	-5.36803	M	2	1	0.00045275036487525417	2016-03-09
4	56.52166	-5.36803	M	1	9	0.018003958805909846	2016-03-09
5	56.5212	-5.36774	M	2	8	0.03890958737238898	2016-03-09
6	56.5212	-5.36774	M	1	5	0.4225971095441261	2016-03-09
7	56.5212	-5.36774	F	1	5	0.0005953827593779674	2016-03-09
8	56.5212	-5.36774	F	1	7	0.0002443608596948512	2016-03-09
