Location,01,02,03,04,05,06,07,08,09,10,11,12
ardrishaig,8.2,7.55,7.45,8.25,9.65,11.35,13.15,13.75,13.65,12.85, 11.75, 9.85
tarbert,8.4,7.8,7.7,8.6,9.8,11.65,13.4,13.9,13.9,13.2,12.15,10.2
